genre_name,song_id
soul,1
soul,2
soul,3
christian,4
christian,5
christian,6
christian,7
soul,8
soul,9
soul,10
soul,11
christian,12
rock,13
rock,14
rock,15
christian,16
christian,17
christian,18
rock,19
rock,20
rock,21
pop,22
pop,23
pop,24
soul,25
soul,26
pop,27
jazz,28
soul,29
soul,30
pop,31
pop,32
pop,33
pop,34
soul,35
rap,37
rap,38
christian,39
christian,40
jazz,41
jazz,42
jazz,43
jazz,44
jazz,45
jazz,46
jazz,47
jazz,48
jazz,49
jazz,50
jazz,51
jazz,52
rock,53
rock,54
pop,55
pop,56
soul,57
soul,58
pop,59
pop,60
pop,61
pop,62
pop,63
soul,64
soul,65
soul,66
soul,67
soul,68
rock,69
rock,70
soul,71
soul,72
soul,73
pop,74
pop,75
soul,76
soul,77
rock,78
rock,79
soul,80
soul,81
jazz,82
jazz,83
soul,84
soul,85
soul,86
soul,87
soul,88
soul,89
jazz,90
soul,91
jazz,92
rock,93
