artist_id,song_id
1,1
1,2
1,3
2,4
2,5
2,6
2,7
3,8
3,10
3,11
4,12
5,13
5,14
5,15
6,16
6,17
6,18
7,19
7,20
19,19
19,20
7,21
19,21
8,22
8,23
8,24
9,25
9,26
10,27
10,28
11,29
11,30
12,31
12,32
13,33
13,34
14,35
14,36
15,37
15,38
16,39
16,40
17,41
17,42
18,43
18,44
19,45
11,45
30,45
19,46
11,46
30,46
20,47
20,48
21,49
21,50
22,51
22,45
22,46
22,52
23,53
47,53
23,54
47,54
24,55
24,56
25,57
25,58
26,59
26,60
27,61
27,62
28,63
28,64
29,65
29,66
50,66
32,67
32,68
33,69
45,69
33,70
45,70
34,71
44,71
37,71
34,72
44,72
37,72
34,73
44,73
37,73
35,74
42,74
35,75
42,75
37,76
37,77
38,78
38,79
39,80
39,81
43,82
43,83
46,84
46,85
48,86
48,87
49,88
49,89
41,90
41,91
31,92
31,93
40,92
40,93
